Format,Traqmate Trackvision,V2
Track,Portland International Raceway
Vehicle,CORRADO
Driver,DJ
Starting Date,2019/08/18
Starting Time,16:53:001
Sample Rate (samps/sec),10
Duration (secs),1952
Elapsed Time,Lat (Degrees),Lon (Degrees),Altitude (meters),Velocity (MPH),Lap
0.0,45.595372,-122.694435,6.0,10.45833,1
0.025,45.595372,-122.694437,6.0,10.506483,1
0.05,45.595372,-122.694438,6.0,10.558567,1
0.075,45.595372,-122.69444,6.0,10.602789,1
0.1,45.595372,-122.694441,6.0,10.654872,1
0.125,45.595372,-122.694443,6.0,10.708921,1
0.15,45.595373,-122.694444,6.0,10.75904,1
0.175,45.595373,-122.694446,6.0,10.812106,1
0.2,45.595373,-122.694448,6.0,10.866155,1
0.225,45.595373,-122.694449,6.0,10.904481,1
0.25,45.595373,-122.694451,6.0,10.942806,1
0.275,45.595373,-122.694453,6.0,10.979167,1
0.3,45.595374,-122.694454,6.0,11.007665,1
0.325,45.595374,-122.694456,6.0,11.033216,1
0.35,45.595374,-122.694457,6.0,11.063679999999998,1
0.375,45.595374,-122.694459,6.0,11.107902,1
0.4,45.595374,-122.694461,6.0,11.152124,1
0.425,45.595374,-122.694462,6.0,11.214034,1
0.45,45.595374,-122.694464,6.0,11.266118000000002,1
0.475,45.595375,-122.694465,6.0,11.308375,1
0.5,45.595375,-122.694468,6.0,11.686858999999998,1
0.525,45.595375,-122.694469,6.0,11.681046,1
0.55,45.595375,-122.694471,6.0,11.666514,1
0.575,45.595376,-122.694473,6.0,11.644231,1
0.6,45.595376,-122.694474,6.0,11.626792,1
0.625,45.595376,-122.694476,6.0,11.621948,1
0.65,45.595376,-122.694478,6.0,11.628827,1
0.675,45.595377,-122.694479,6.0,11.643568,1
0.7,45.595377,-122.694481,6.0,11.66617,1
0.725,45.595377,-122.694483,6.0,11.704496,1
0.75,45.595377,-122.694485,6.0,11.742820999999998,1
0.775,45.595378,-122.694487,6.0,11.779182,1
0.8,45.595378,-122.694488,6.0,11.819473,1
0.825,45.595378,-122.69449,6.0,11.851902,1
0.85,45.595379,-122.694492,6.0,11.877453,1
0.875,45.595379,-122.694493,6.0,11.902021,1
0.9,45.595379,-122.694495,6.0,11.942312,1
0.925,45.595379,-122.694497,6.0,11.987516,1
0.95,45.59538,-122.694498,6.0,12.057289,1
0.975,45.59538,-122.6945,6.0,12.141802,1
